message,timestamp,severity,tags,attributes
[93mAttempt #1 failed with service unavailable. Continuing to retry for 4m49s[0m,2026-03-27T04:08:44.610411347Z,info,"{""serviceId"":""0691a9a9-d0d0-49c0-b12e-d8ce74a31e4e"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[93mAttempt #2 failed with service unavailable. Continuing to retry for 4m38s[0m,2026-03-27T04:08:55.642907165Z,info,"{""serviceId"":""0691a9a9-d0d0-49c0-b12e-d8ce74a31e4e"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[93mAttempt #3 failed with service unavailable. Continuing to retry for 4m26s[0m,2026-03-27T04:09:07.676795119Z,info,"{""serviceId"":""0691a9a9-d0d0-49c0-b12e-d8ce74a31e4e"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[93mAttempt #4 failed with service unavailable. Continuing to retry for 4m12s[0m,2026-03-27T04:09:21.712314217Z,info,"{""serviceId"":""0691a9a9-d0d0-49c0-b12e-d8ce74a31e4e"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[93mAttempt #5 failed with service unavailable. Continuing to retry for 3m54s[0m,2026-03-27T04:09:39.744706249Z,info,"{""serviceId"":""0691a9a9-d0d0-49c0-b12e-d8ce74a31e4e"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[93mAttempt #6 failed with service unavailable. Continuing to retry for 3m28s[0m,2026-03-27T04:10:05.788535982Z,info,"{""serviceId"":""0691a9a9-d0d0-49c0-b12e-d8ce74a31e4e"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[93mAttempt #7 failed with service unavailable. Continuing to retry for 2m48s[0m,2026-03-27T04:10:45.838348235Z,info,"{""serviceId"":""0691a9a9-d0d0-49c0-b12e-d8ce74a31e4e"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[93mAttempt #8 failed with service unavailable. Continuing to retry for 2m8s[0m,2026-03-27T04:11:25.876525168Z,info,"{""serviceId"":""0691a9a9-d0d0-49c0-b12e-d8ce74a31e4e"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[93mAttempt #9 failed with service unavailable. Continuing to retry for 1m28s[0m,2026-03-27T04:12:05.915085414Z,info,"{""serviceId"":""0691a9a9-d0d0-49c0-b12e-d8ce74a31e4e"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[93mAttempt #10 failed with service unavailable. Continuing to retry for 48s[0m,2026-03-27T04:12:45.962074482Z,info,"{""serviceId"":""0691a9a9-d0d0-49c0-b12e-d8ce74a31e4e"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[93mAttempt #11 failed with service unavailable. Continuing to retry for 8s[0m,2026-03-27T04:13:26.003955787Z,info,"{""serviceId"":""0691a9a9-d0d0-49c0-b12e-d8ce74a31e4e"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
,2026-03-27T04:13:26.065136614Z,info,"{""serviceId"":""0691a9a9-d0d0-49c0-b12e-d8ce74a31e4e"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[91m1/1 replicas never became healthy![0m,2026-03-27T04:13:26.065138865Z,info,"{""serviceId"":""0691a9a9-d0d0-49c0-b12e-d8ce74a31e4e"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[91mHealthcheck failed![0m,2026-03-27T04:13:26.065139285Z,info,"{""serviceId"":""0691a9a9-d0d0-49c0-b12e-d8ce74a31e4e"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
